gap_bucket,range,samples,n_determined95,n_determined80,keep_top1_rate,override_rate,uncertain_rate,teacher_best_is_top1_rate,top1_wrong_rate,teacher_best_is_expert_rate,policy_top1_is_expert_rate,mean_abs_delta_ba,mean_delta_ba,mean_abs_delta_ca,mean_abs_delta_da
lt005,-inf..0.05,120,5,13,0.2916666666666667,0.09166666666666666,0.6166666666666667,0.2916666666666667,0.09166666666666666,0.24166666666666667,0.39166666666666666,0.21183639793726988,-0.019015294198304104,0.26773437566838126,0.2908835603305721
05_20,0.05..0.2,100,7,10,0.32,0.08,0.6,0.32,0.08,0.32,0.45,0.2599983756164855,-0.0897512075662706,0.4001014567397064,0.4201020667349038
20_50,0.2..0.5,100,2,4,0.35,0.05,0.6,0.35,0.05,0.35,0.65,0.21498411697323067,-0.017169628589315575,0.39761728055059625,0.3874847832738234
50_70,0.5..0.7,60,3,6,0.35,0.06666666666666667,0.5833333333333334,0.35,0.06666666666666667,0.3333333333333333,0.7166666666666667,0.22945912904372257,-0.07382131366037527,0.3085521713693306,0.35514023893488117
ge70,0.7..+inf,40,2,6,0.5,0.05,0.45,0.5,0.05,0.475,0.975,0.44722102418875753,-0.18514592763925886,0.34886152521484315,0.45764950141628796
