decision_id,final_n,final_best,agree_n16,agree_n32,agree_n64
2024-2024092313gm-00a9-0000-546f9980-02-s2-d7,64,1,False,False,True
2024-2024092313gm-00a9-0000-546f9980-09-s0-d10,128,3,False,False,False
2024-2024092313gm-00a9-0000-546f9980-10-s2-d3,128,2,False,False,True
2024-2024092523gm-00a9-0000-e7bdeed7-02-s0-d17,128,2,True,True,True
2024-2024092523gm-00a9-0000-e7bdeed7-02-s1-d16,64,1,False,True,True
2024-2024092523gm-00a9-0000-e7bdeed7-03-s0-d14,64,3,False,False,True
2024-2024092523gm-00a9-0000-e7bdeed7-06-s3-d7,128,2,False,False,False
2024-2024092523gm-00a9-0000-e7bdeed7-10-s0-d0,64,3,True,True,True
2024-2024092523gm-00a9-0000-e7bdeed7-10-s2-d9,64,2,False,True,True
2024-2024092611gm-00a9-0000-4789b0e8-00-s0-d5,128,3,False,True,True
2024-2024092611gm-00a9-0000-4789b0e8-00-s3-d21,32,2,True,True,False
2024-2024092611gm-00a9-0000-4789b0e8-01-s3-d4,64,2,False,True,True
2024-2024092905gm-00a9-0000-4f383722-00-s2-d10,64,3,False,True,True
2024-2024092905gm-00a9-0000-4f383722-00-s3-d1,64,1,False,False,True
2024-2024092905gm-00a9-0000-4f383722-03-s1-d10,16,1,True,False,False
2024-2024092905gm-00a9-0000-4f383722-04-s0-d11,64,3,False,True,True
2024-2024092905gm-00a9-0000-4f383722-06-s0-d2,64,3,True,True,True
2024-2024092905gm-00a9-0000-4f383722-09-s2-d9,128,1,False,False,True
2024-2024092905gm-00a9-0000-4f383722-09-s3-d17,64,1,True,True,True
2024-2024092922gm-00a9-0000-d78d568e-01-s1-d2,64,4,True,False,True
2024-2024092922gm-00a9-0000-d78d568e-02-s3-d11,64,1,True,True,True
2024-2024092922gm-00a9-0000-d78d568e-03-s3-d12,128,3,True,False,True
2024-2024092922gm-00a9-0000-d78d568e-05-s0-d10,64,4,False,True,True
2024-2024092922gm-00a9-0000-d78d568e-05-s2-d4,64,1,True,True,True
2024-2024092922gm-00a9-0000-d78d568e-07-s0-d3,128,2,False,False,False
2024-2024092922gm-00a9-0000-d78d568e-07-s1-d5,64,1,True,True,True
2024-2024092922gm-00a9-0000-d78d568e-10-s0-d14,64,2,True,True,True
