state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group,grp_p1_seat0,grp_p2_seat0,grp_p3_seat0,grp_p4_seat0,grp_value_seat0,grp_p1_seat1,grp_p2_seat1,grp_p3_seat1,grp_p4_seat1,grp_value_seat1,grp_p1_seat2,grp_p2_seat2,grp_p3_seat2,grp_p4_seat2,grp_value_seat2,grp_p1_seat3,grp_p2_seat3,grp_p3_seat3,grp_p4_seat3,grp_value_seat3,n,mc_mean_seat0,mc_std_seat0,mc_se_seat0,mc_mean_seat1,mc_std_seat1,mc_se_seat1,mc_mean_seat2,mc_std_seat2,mc_se_seat2,mc_mean_seat3,mc_std_seat3,mc_se_seat3
g20260811_ky03,20260811,3,0,3,0,0,"[30500, 17500, 23000, 29000]","[24500, 11500, 16000, 48000]",3,0,1,0,2,4,3,1,36500,middle,0.038972221314907074,0.530713677406311,0.29112690687179565,0.13918723165988922,-0.04380302131175995,0.010051959194242954,0.15681873261928558,0.25619593262672424,0.5769333243370056,-6.066322451457381,0.018375782296061516,0.22411830723285675,0.4096049666404724,0.3479008972644806,-4.037197787314653,0.9158474802970886,0.07637734711170197,0.0056795584969222546,0.002095635049045086,9.420309606939554,128,0.484375,6.032698792780015,0.5332202781538309,-5.4375,5.594921769453011,0.49452589042355766,-4.125,5.422321901468927,0.4792700732881266,9.078125,2.545984564284474,0.22503536877522862
g20260812_ky02,20260812,2,0,2,1,0,"[10900, 21100, 45600, 22400]","[12400, 19600, 44100, 23900]",3,0,2,0,4,3,1,2,31700,middle,0.03301577270030975,0.15136151015758514,0.27581101655960083,0.5398117303848267,-5.565757602453232,0.05331326648592949,0.26469725370407104,0.36568278074264526,0.3163067102432251,-3.033876545727253,0.7368251085281372,0.22019775211811066,0.03490288928151131,0.008074239827692509,8.028688138350844,0.11524153500795364,0.3362520933151245,0.33847901225090027,0.21002736687660217,-0.9567659944295883,128,-5.09375,5.799046215359386,0.5125681129118507,-3.25,5.992120810783409,0.5296336573742477,8.328125,4.122359570100218,0.3643685508133906,0.015625,6.371670042764163,0.5631813868402148
g20260812_ky07,20260812,7,1,3,0,0,"[19300, 11100, 52700, 16900]","[19300, 11100, 48800, 20800]",3,1,1,0,3,4,1,2,37700,late,0.0012277904897928238,0.5310992002487183,0.43251264095306396,0.03516038879752159,0.055020254105329514,9.158955072052777e-05,0.011447569355368614,0.06142069399356842,0.9270401000976562,-9.469377604022156,0.9982137680053711,0.0017831121804192662,2.1400232981250156e-06,9.820583954933682e-07,9.98925174809824,0.00754234055057168,0.5604652762413025,0.38766130805015564,0.044331081211566925,0.32332846615463495,64,-1.75,4.879500364742666,0.6099375455928332,-7.6875,4.783818624793444,0.5979773280991805,9.8125,1.0522085616183026,0.13152607020228782,-0.375,5.174724898753341,0.6468406123441677
g20260813_ky05,20260813,5,1,1,0,0,"[17100, 22300, 26300, 34300]","[16600, 21300, 25800, 36300]",2,1,0,0,4,3,2,1,19700,late,0.03518729284405708,0.0868830531835556,0.24016441404819489,0.6377652287483215,-6.638904802501202,0.06954364478588104,0.1930007040500641,0.40623539686203003,0.3312202990055084,-3.4697053134441376,0.13160692155361176,0.45537862181663513,0.29430145025253296,0.11871302127838135,0.7732476890087128,0.7272485494613647,0.21814855933189392,0.04197361320257187,0.01262923888862133,7.850892890244722,128,-6.15625,5.433111519875289,0.4802237498308208,-3.40625,5.790893611429728,0.5118475177214771,0.9375,5.69534967091712,0.5034025466917584,8.625,3.5472069527100234,0.3135317613166658
g20260813_ky06,20260813,6,1,2,0,0,"[16600, 21300, 25800, 36300]","[16600, 17400, 29700, 36300]",2,1,1,0,4,3,2,1,19700,late,0.015727251768112183,0.0435439869761467,0.36857637763023376,0.5721524357795715,-6.864381402730942,0.012531721964478493,0.05328701436519623,0.4422266483306885,0.49195465445518494,-6.349987860769033,0.17811770737171173,0.7162737250328064,0.09279543161392212,0.012813056819140911,4.146959679201245,0.8141837120056152,0.16943718492984772,0.012201584875583649,0.004177534487098455,8.729004175402224,64,-6.90625,3.803585401271004,0.4754481751588755,-6.46875,3.523025170106843,0.44037814626335536,4.625,3.2440421581430665,0.4055052697678833,8.75,2.7945525240230875,0.34931906550288594
g20260814_ky06,20260814,6,1,2,0,0,"[43400, 11500, 16000, 29100]","[44700, 11500, 14700, 29100]",3,1,0,0,1,4,3,2,33200,late,0.9317155480384827,0.06772733479738235,0.0004667702887672931,9.022386802826077e-05,9.585295499739004,0.0008760462515056133,0.019379938021302223,0.29729530215263367,0.6824487447738647,-7.927388441748917,0.003674786537885666,0.046341314911842346,0.626031219959259,0.32395270466804504,-5.5215388014912605,0.061386678367853165,0.8657987713813782,0.06587991863489151,0.006934670731425285,3.7441954873502254,64,9.4375,1.7627089541790095,0.2203386192723762,-8.03125,2.839454172900137,0.3549317716125171,-5.96875,2.839454172900137,0.3549317716125171,4.5625,1.7627089541790095,0.2203386192723762
g20260815_ky01,20260815,1,0,1,0,0,"[19000, 37000, 22000, 22000]","[11300, 37000, 29700, 22000]",2,0,0,0,4,1,2,3,25700,early,0.05470510199666023,0.10544806718826294,0.19213567674160004,0.6477112174034119,-6.276811592280865,0.5097159743309021,0.3221801817417145,0.13203445076942444,0.0360693484544754,5.497049182653427,0.2911047339439392,0.3541049659252167,0.25645148754119873,0.09833876043558121,2.318273648619652,0.16824379563331604,0.20410072803497314,0.37091442942619324,0.2567409873008728,-1.552226722240448,128,-6.390625,5.342202169119775,0.4721884225317595,6.703125,4.665773138117406,0.41239997818010693,2.5625,6.625826348701693,0.5856458427664336,-2.875,6.182270815885121,0.5464407021305073
g20260815_ky07,20260815,7,1,3,0,0,"[17800, 33500, 24000, 24700]","[23000, 28300, 24000, 24700]",0,2,0,0,4,1,3,2,5300,late,0.1700337529182434,0.19561722874641418,0.30436384677886963,0.32998520135879517,-2.0345009565353394,0.5479102730751038,0.3665892779827118,0.054648976773023605,0.030851468443870544,6.418349251151085,0.12517239153385162,0.2819060981273651,0.36274170875549316,0.2301798015832901,-1.373416543006897,0.14968763291835785,0.1634916365146637,0.3229086101055145,0.36391210556030273,-2.779912620782852,192,-2.1979166666666665,8.082195274413516,0.5832822021657207,4.395833333333333,6.020000115960178,0.4344560859338984,-1.625,7.220172439239663,0.5210710626738171,-0.5729166666666666,7.228861281527967,0.5216981258530794
g20260816_ky00,20260816,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[32700, 17300, 25000, 25000]",0,0,1,0,1,4,2,3,15400,early,0.37677955627441406,0.30168235301971436,0.21405252814292908,0.10748561471700668,3.043458715081215,0.11430090665817261,0.18272607028484344,0.2619217336177826,0.44105127453804016,-3.584286332130432,0.22387319803237915,0.25507181882858276,0.28763628005981445,0.23341873288154602,-0.22571319341659546,0.20834468305110931,0.24366913735866547,0.27856144309043884,0.2694247364997864,-0.7503697574138641,192,3.9270833333333335,7.15240931349595,0.5161806803126592,-3.0208333333333335,6.882680542384382,0.49671468298647786,-0.9583333333333334,7.218238486028757,0.5209314916229525,0.052083333333333336,7.548613536115525,0.5447742571355939
g20260818_ky01,20260818,1,0,1,0,0,"[24000, 25000, 17000, 34000]","[24000, 25000, 22200, 28800]",2,0,0,0,3,2,4,1,6600,early,0.21438001096248627,0.25035297870635986,0.26126912236213684,0.2739979028701782,-0.6398434937000275,0.21746820211410522,0.2444278746843338,0.26434525847435,0.2737586796283722,-0.6425743103027344,0.19035062193870544,0.22046595811843872,0.2545423209667206,0.33464106917381287,-1.5792099237442017,0.3334167003631592,0.2625117301940918,0.22326739132404327,0.18080419301986694,1.6831024289131165,192,-1.5520833333333333,7.386658117855954,0.5330861315944837,0.0,7.6930648036591,0.5551991294107271,-1.1458333333333333,7.606802090588083,0.5489736543341548,2.6979166666666665,7.109642138940928,0.5130942253449314
