state_id,n,mc_mean_seat0,mc_std_seat0,mc_se_seat0,mc_mean_seat1,mc_std_seat1,mc_se_seat1,mc_mean_seat2,mc_std_seat2,mc_se_seat2,mc_mean_seat3,mc_std_seat3,mc_se_seat3
g20260811_ky03,128,0.484375,6.032698792780015,0.5332202781538309,-5.4375,5.594921769453011,0.49452589042355766,-4.125,5.422321901468927,0.4792700732881266,9.078125,2.545984564284474,0.22503536877522862
g20260812_ky07,64,-1.75,4.879500364742666,0.6099375455928332,-7.6875,4.783818624793444,0.5979773280991805,9.8125,1.0522085616183026,0.13152607020228782,-0.375,5.174724898753341,0.6468406123441677
g20260813_ky06,64,-6.90625,3.803585401271004,0.4754481751588755,-6.46875,3.523025170106843,0.44037814626335536,4.625,3.2440421581430665,0.4055052697678833,8.75,2.7945525240230875,0.34931906550288594
g20260815_ky01,128,-6.390625,5.342202169119775,0.4721884225317595,6.703125,4.665773138117406,0.41239997818010693,2.5625,6.625826348701693,0.5856458427664336,-2.875,6.182270815885121,0.5464407021305073
g20260816_ky00,192,3.9270833333333335,7.15240931349595,0.5161806803126592,-3.0208333333333335,6.882680542384382,0.49671468298647786,-0.9583333333333334,7.218238486028757,0.5209314916229525,0.052083333333333336,7.548613536115525,0.5447742571355939
g20260818_ky03,128,-2.03125,6.198726691702515,0.5478952098031127,-2.84375,6.8071725720152605,0.6016747357973828,-3.59375,6.439833592020324,0.5692062503288117,8.46875,3.159630946255501,0.2792745585180166
g20260819_ky05,64,-7.8125,4.272001872658765,0.5340002340823456,5.96875,4.327720724199595,0.5409650905249493,6.4375,4.101393491415884,0.5126741864269855,-4.59375,4.488853036946252,0.5611066296182815
g20260821_ky01,192,1.2604166666666667,7.140687622404994,0.515334740124319,-0.125,7.159001948632474,0.5166564627715018,3.375,6.844954575551342,0.49399204584816603,-4.510416666666667,7.113875228585915,0.5133997222756861
g20260824_ky01,64,9.8125,1.0522085616183026,0.13152607020228782,-0.65625,5.014957785196361,0.6268697231495451,-7.34375,5.176929132033317,0.6471161415041646,-1.8125,5.123475382979799,0.6404344228724749
g20260824_ky03,128,9.90625,0.7470414085857171,0.06602975572976386,0.71875,4.424230882044674,0.39105045727859117,-8.109375,4.080362757919996,0.360656521978284,-2.515625,4.99603681514335,0.4415914388806881
g20260825_ky00,128,7.03125,5.081907850559158,0.4491814378119416,-2.28125,6.629613235592504,0.5859805594414434,-4.4375,6.5252387050191745,0.576755067147498,-0.3125,6.815625863081967,0.6024219082269593
g20260825_ky07,64,7.4375,3.275086331104949,0.40938579138811865,5.40625,4.150803135137424,0.518850391892178,-8.84375,2.7326291195041277,0.34157863993801596,-4.0,4.320493798938574,0.5400617248673217
g20260832_ky06,192,-1.4791666666666667,7.371913824648615,0.5320220538879502,4.822916666666667,5.404079885293311,0.3900058720620419,0.6458333333333334,6.484745154650866,0.46799617008297484,-3.9895833333333335,8.100151626357531,0.5845780902442883
g20260832_ky08,128,-2.09375,5.376293105761173,0.4752016640912762,5.78125,5.602217643012903,0.4951707606321676,3.984375,5.70396239537692,0.5041638111755103,-7.671875,5.251335600640201,0.46415687668737715
g20260833_ky01,192,-1.59375,7.257533547543358,0.5237673684158621,2.1458333333333335,7.326319428606873,0.5287315617844205,2.2708333333333335,6.852949327491469,0.4945690173712581,-2.8229166666666665,7.7154835711363345,0.5568170645904623
g20260834_ky04,128,-5.5,5.6512837368173034,0.4995076315890959,-3.609375,6.583484914697325,0.5819033533777273,4.90625,5.733500806319206,0.5067746625108561,4.203125,6.323757697549997,0.5589464938147789
g20260835_ky07,128,-8.625,4.0683142826436365,0.35959157715692497,6.109375,4.63678271401711,0.40983756249625775,0.171875,5.827047137826902,0.5150430681813831,2.34375,6.607604185396258,0.5840352158612884
g20260836_ky04,192,1.6041666666666667,7.46437145289116,0.5386946084572587,-1.1666666666666667,7.42807278306467,0.536074977607815,1.8958333333333333,7.09173867377408,0.5118021540407431,-2.3333333333333335,7.680350486476085,0.5542815526047051
g20260837_ky03,128,3.9375,6.2339557846049445,0.5510090511139075,4.625,5.8525181335846375,0.5172944074093667,-3.75,6.5544358964948195,0.5793357586580018,-4.8125,6.561339886209387,0.5799459909010534
g20260838_ky02,192,1.8541666666666667,7.1644543847918145,0.5170499584570436,-3.6875,7.00233693227404,0.5053501391006094,3.75,6.512171447631794,0.46997549228740143,-1.9166666666666667,7.449187968910475,0.537598834886823
g20260839_ky04,128,4.15625,5.97954189381114,0.5285218276878635,4.65625,5.595889239249894,0.4946114034803038,-1.546875,6.492708660338264,0.5738797902492264,-7.265625,5.451987104334233,0.48189213155204313
g20260843_ky05,64,2.0,3.491486243775878,0.4364357804719847,-2.09375,3.6240762369779933,0.45300952962224916,10.0,0.0,0.0,-9.90625,0.75,0.09375
g20260844_ky00,192,1.03125,7.652058033404926,0.5522397206801216,-0.19791666666666666,7.661858743583816,0.5529470260126256,-1.1979166666666667,7.452635489658024,0.5378476382657774,0.3645833333333333,7.59804299916123,0.548341521360011
g20260845_ky05,192,-0.4895833333333333,7.355583115351303,0.5308434864618427,4.083333333333333,6.166395447080339,0.44502125891268957,-3.1666666666666665,7.72385529791802,0.5574212419293358,-0.4270833333333333,7.359496897878132,0.5311259393862694
