bucket,n,n_determined95,mean_abs_delta_grp,mean_delta_grp,mean_delta_mc,mean_abs_delta_mc,accuracy95
-inf..0.2473,24,0,0.12360577735429008,0.005450648721307516,-0.07682291666666667,0.572048611111111,
0.2473..0.7377,24,3,0.4142693652926634,-0.11162767830925684,-0.24913194444444442,0.8524305555555557,1.0
0.7377..1.7721,23,4,1.1074516448943936,0.21590280471465792,-0.073822463768116,0.9356884057971014,1.0
1.7721..6.6184,24,20,3.3519403869443827,1.1084854320542945,0.6215277777777778,2.943142361111111,1.0
6.6184..+inf,24,24,14.133801359029093,1.3849469224120317,1.4639756944444453,13.805121527777779,1.0
