state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260819_ky00,20260819,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[23500, 25500, 23500, 26500]",1,0,1,1,3,2,4,1,3000,early
g20260846_ky00,20260846,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[27000, 24000, 24000, 24000]",0,0,1,1,1,2,3,4,3000,early
g20260837_ky01,20260837,1,0,1,0,0,"[25000, 25000, 23000, 27000]","[25000, 30800, 17200, 27000]",1,0,1,0,3,1,4,2,13600,early
g20260845_ky01,20260845,1,0,1,0,0,"[25000, 24000, 26000, 25000]","[25000, 16000, 26000, 33000]",2,0,0,0,3,4,2,1,17000,early
g20260843_ky01,20260843,1,0,1,0,0,"[21100, 32900, 23000, 23000]","[17100, 24900, 39000, 19000]",2,0,0,0,4,2,1,3,21900,early
g20260831_ky01,20260831,1,0,1,0,0,"[24000, 28600, 25000, 22400]","[24000, 38200, 15400, 22400]",1,0,1,0,2,1,4,3,22800,early
g20260830_ky01,20260830,1,0,1,0,0,"[21000, 33000, 23000, 23000]","[19700, 30400, 29200, 20700]",2,0,0,0,4,1,2,3,10700,early
g20260840_ky01,20260840,1,0,1,0,0,"[21100, 29900, 24000, 25000]","[18500, 29900, 26300, 25300]",2,0,0,0,4,1,2,3,11400,early
g20260811_ky01,20260811,1,0,1,1,1,"[24000, 24000, 24000, 27000]","[30500, 18500, 24000, 27000]",2,0,0,0,1,4,3,2,12000,early
g20260824_ky00,20260824,0,0,0,2,0,"[55300, 14900, 14900, 14900]","[63700, 12100, 12100, 12100]",0,0,3,0,1,2,3,4,51600,early
g20260835_ky01,20260835,1,0,1,0,0,"[22400, 30200, 23700, 23700]","[22400, 26300, 27600, 23700]",2,0,0,0,4,2,1,3,5200,early
g20260833_ky01,20260833,1,0,1,0,0,"[25000, 30200, 25000, 19800]","[22000, 30200, 28000, 19800]",2,0,0,0,3,1,2,4,10400,early
g20260820_ky01,20260820,1,0,1,0,0,"[24000, 24500, 27000, 24500]","[23500, 22500, 26500, 27500]",2,0,0,0,3,4,2,1,5000,early
