pair_id,pair_key,state_a,state_b,seat,pair_kind,stage_group,kyoku_ordinal_a,kyoku_ordinal_b,score_diff,grp_value_a,grp_value_b,mc_value_a,mc_value_b,mc_se_a,mc_se_b,delta_grp,delta_mc,delta_mc_se,n_a,n_b
g20260824_ky02|g20260838_ky04|s3,g20260824_ky02|g20260838_ky04,g20260824_ky02,g20260838_ky04,3,hard,middle,2,4,500,-2.635978209786117,-5.930918380618095,-1.875,-6.78125,0.5305638659699847,0.5198966314392599,3.2949401708319783,4.90625,0.7428260383527934,64,128
g20260825_ky02|g20260836_ky04|s3,g20260825_ky02|g20260836_ky04,g20260825_ky02,g20260836_ky04,3,hard,middle,2,4,600,-1.4065707921981812,-2.6193484365940094,-0.84375,-2.3333333333333335,0.6069679773201597,0.5542815526047051,1.2127776443958282,1.4895833333333335,0.8219721193872749,128,192
g20260824_ky02|g20260837_ky03|s3,g20260824_ky02|g20260837_ky03,g20260824_ky02,g20260837_ky03,3,hard,middle,2,3,900,-2.635978209786117,-5.246520087122917,-1.875,-4.8125,0.5305638659699847,0.5799459909010534,2.6105418773368,2.9375,0.7860250430076772,64,128
g20260825_ky02|g20260840_ky03|s3,g20260825_ky02|g20260840_ky03,g20260825_ky02,g20260840_ky03,3,hard,middle,2,3,900,-1.4065707921981812,-0.8875232636928558,-0.84375,0.6875,0.6069679773201597,0.5403961303975918,-0.5190475285053253,-1.53125,0.8126734296387553,128,192
g20260811_ky03|g20260839_ky04|s3,g20260811_ky03|g20260839_ky04,g20260811_ky03,g20260839_ky04,3,easy,middle,3,4,38800,9.420309606939554,-7.937930181622505,9.078125,-7.265625,0.22503536877522862,0.48189213155204313,17.35823978856206,16.34375,0.5318467294734215,128,128
g20260811_ky03|g20260824_ky03|s3,g20260811_ky03|g20260824_ky03,g20260811_ky03,g20260824_ky03,3,easy,middle,3,3,34500,9.420309606939554,-3.0726921735331416,9.078125,-2.515625,0.22503536877522862,0.4415914388806881,12.493001780472696,11.59375,0.49562477348546613,128,128
g20260812_ky07|g20260832_ky09|s3,g20260812_ky07|g20260832_ky09,g20260812_ky07,g20260832_ky09,3,hard,late,7,9,0,0.32332846615463495,-7.981637876480818,-0.375,-5.895833333333333,0.6468406123441677,0.4667709580235445,8.304966342635453,5.520833333333333,0.7976702984516819,64,192
g20260819_ky05|g20260832_ky08|s3,g20260819_ky05|g20260832_ky08,g20260819_ky05,g20260832_ky08,3,hard,late,5,8,100,-4.396350309252739,-8.115410342812538,-4.59375,-7.671875,0.5611066296182815,0.46415687668737715,3.719060033559799,3.078125,0.7282048173266696,64,128
g20260812_ky07|g20260825_ky07|s3,g20260812_ky07|g20260825_ky07,g20260812_ky07,g20260825_ky07,3,hard,late,7,7,300,0.32332846615463495,-4.126922506839037,-0.375,-4.0,0.6468406123441677,0.5400617248673217,4.450250972993672,3.625,0.8426561840065285,64,64
g20260825_ky07|g20260832_ky09|s3,g20260825_ky07|g20260832_ky09,g20260825_ky07,g20260832_ky09,3,hard,late,7,9,300,-4.126922506839037,-7.981637876480818,-4.0,-5.895833333333333,0.5400617248673217,0.4667709580235445,3.854715369641781,1.895833333333333,0.71382196234137,64,192
g20260812_ky07|g20260832_ky06|s3,g20260812_ky07|g20260832_ky06,g20260812_ky07,g20260832_ky06,3,hard,late,7,6,400,0.32332846615463495,-4.615915209054947,-0.375,-3.9895833333333335,0.6468406123441677,0.5845780902442883,4.939243675209582,3.6145833333333335,0.8718568238945184,64,192
g20260812_ky07|g20260832_ky07|s3,g20260812_ky07|g20260832_ky07,g20260812_ky07,g20260832_ky07,3,hard,late,7,7,400,0.32332846615463495,-7.920071169734001,-0.375,-4.4375,0.6468406123441677,0.5489570966651744,8.243399635888636,4.0625,0.8483847427652359,64,192
g20260815_ky07|g20260845_ky05|s3,g20260815_ky07|g20260845_ky05,g20260815_ky07,g20260845_ky05,3,hard,late,7,5,400,-2.779912620782852,-0.4505766034126282,-0.5729166666666666,-0.4270833333333333,0.5216981258530794,0.5311259393862694,-2.329336017370224,-0.14583333333333331,0.7444888837367302,192,192
g20260818_ky06|g20260834_ky06|s3,g20260818_ky06|g20260834_ky06,g20260818_ky06,g20260834_ky06,3,hard,late,6,6,600,4.853446703404188,6.674802683293819,5.03125,7.96875,0.2851906473872221,0.42838796089489084,-1.8213559798896313,-2.9375,0.5146357453547367,64,64
g20260813_ky05|g20260843_ky06|s3,g20260813_ky05|g20260843_ky06,g20260813_ky05,g20260843_ky06,3,easy,late,5,6,35800,7.850892890244722,-9.678935365285724,8.625,-9.59375,0.3135317613166658,0.25268277802320405,17.529828255530447,18.21875,0.40267946516286934,128,64
g20260813_ky06|g20260843_ky06|s3,g20260813_ky06|g20260843_ky06,g20260813_ky06,g20260843_ky06,3,easy,late,6,6,35800,8.729004175402224,-9.678935365285724,8.75,-9.59375,0.34931906550288594,0.25268277802320405,18.40793954068795,18.34375,0.4311292101369766,64,64
