decision_id,n_worlds,mean_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,unresolved_type
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,64,0.1875,1.1186715743549762,-2.0050962857357533,2.3800962857357533,UNRESOLVED,near_tie
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,128,-0.703125,0.7612637919279955,-2.195202032178871,0.7889520321788712,UNRESOLVED,high_variance
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,192,-0.6041666666666666,0.6140159736606313,-1.8076379750415041,0.5993046417081708,UNRESOLVED,high_variance
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,256,-0.7421875,0.5445668640947368,-1.809538553625684,0.32516355362568405,UNRESOLVED,high_variance
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,64,0.21875,0.976019194105272,-1.6942476204463333,2.1317476204463333,UNRESOLVED,near_tie
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,128,0.125,0.6854613654062254,-1.2185042761962017,1.4685042761962017,UNRESOLVED,near_tie
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,192,0.8020833333333334,0.5920981814768089,-0.35842910236121217,1.962595769027879,UNRESOLVED,high_variance
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,256,0.7734375,0.5240955586928248,-0.2537897950379364,1.8006647950379364,UNRESOLVED,high_variance
2025-2025011200gm-00a9-0000-18c17918-01-s0-d4,64,0.8125,0.6557419613241704,-0.47275424419537404,2.0977542441953743,UNRESOLVED,high_variance
2025-2025011200gm-00a9-0000-18c17918-01-s0-d4,128,0.15625,0.42993852277522393,-0.6864295046394389,0.9989295046394389,UNRESOLVED,near_tie
2025-2025011200gm-00a9-0000-18c17918-01-s0-d4,192,0.010416666666666666,0.3411487995787807,-0.6582349805077435,0.6790683138410768,UNRESOLVED,near_tie
2025-2025011200gm-00a9-0000-18c17918-01-s0-d4,256,0.015625,0.305984466217121,-0.5841045537855571,0.6153545537855571,UNRESOLVED,near_tie
2025-2025040820gm-00a9-0000-57062ba3-01-s3-d4,64,1.40625,1.1924694993770049,-0.9309902187789296,3.7434902187789296,UNRESOLVED,high_variance
