decision_id,n_worlds,mean_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,unresolved_type
2024-2024091917gm-00a9-0000-24c42be7-07-s0-d10,64,0.8125,1.1061863827999618,-1.355625310287925,2.980625310287925,UNRESOLVED,high_variance
2024-2024091917gm-00a9-0000-24c42be7-07-s0-d10,128,0.15625,0.6936187539894136,-1.2032427578192506,1.5157427578192506,UNRESOLVED,near_tie
2024-2024091917gm-00a9-0000-24c42be7-07-s0-d10,192,0.020833333333333332,0.6006812565174275,-1.1565019294408247,1.1981685961074913,UNRESOLVED,near_tie
2024-2024091917gm-00a9-0000-24c42be7-07-s0-d10,256,0.09375,0.5131504420981143,-0.9120248665123041,1.099524866512304,UNRESOLVED,near_tie
2024-2024092905gm-00a9-0000-4f383722-09-s2-d9,64,-0.5,0.563436169819011,-1.6043348928452617,0.6043348928452617,UNRESOLVED,near_tie
2024-2024092905gm-00a9-0000-4f383722-09-s2-d9,128,-0.046875,0.4361070873183007,-0.9016448911438694,0.8078948911438694,UNRESOLVED,near_tie
2024-2024092905gm-00a9-0000-4f383722-09-s2-d9,192,0.28125,0.36616305724298404,-0.43642959219624866,0.9989295921962487,UNRESOLVED,near_tie
2024-2024092905gm-00a9-0000-4f383722-09-s2-d9,256,-0.046875,0.3402942944004066,-0.7138518170247969,0.6201018170247969,UNRESOLVED,near_tie
2025-2025011102gm-00a9-0000-034cfa13-01-s2-d3,64,-0.40625,0.7226215604608384,-1.8225882585032431,1.0100882585032431,UNRESOLVED,near_tie
2025-2025011102gm-00a9-0000-034cfa13-01-s2-d3,128,0.5625,0.606695540074638,-0.6266232585462905,1.7516232585462905,UNRESOLVED,high_variance
2025-2025011102gm-00a9-0000-034cfa13-01-s2-d3,192,0.3229166666666667,0.4549987524275067,-0.5688808880912464,1.2147142214245799,UNRESOLVED,near_tie
2025-2025011102gm-00a9-0000-034cfa13-01-s2-d3,256,0.1484375,0.385044389132381,-0.6062495026994668,0.9031245026994668,UNRESOLVED,near_tie
2025-2025011221gm-00a9-0000-22bab0de-00-s1-d0,64,-0.9375,0.9084794006627621,-2.7181196252990136,0.8431196252990136,UNRESOLVED,high_variance
2025-2025011221gm-00a9-0000-22bab0de-00-s1-d0,128,-0.34375,0.6677723923701929,-1.6525838890455782,0.9650838890455782,UNRESOLVED,near_tie
2025-2025011221gm-00a9-0000-22bab0de-00-s1-d0,192,-0.19791666666666666,0.5109106043995368,-1.1993014512897588,0.8034681179564255,UNRESOLVED,near_tie
2025-2025011221gm-00a9-0000-22bab0de-00-s1-d0,256,-0.171875,0.45199105918788296,-1.0577774760082506,0.7140274760082506,UNRESOLVED,near_tie
2025-2025040821gm-00a9-0000-b7ac449d-02-s0-d0,64,0.84375,0.9644521920520313,-1.0465762964219811,2.734076296421981,UNRESOLVED,high_variance
2025-2025040821gm-00a9-0000-b7ac449d-02-s0-d0,128,-0.03125,0.6340814140671166,-1.2740495715715485,1.2115495715715485,UNRESOLVED,near_tie
2025-2025040821gm-00a9-0000-b7ac449d-02-s0-d0,192,0.6458333333333334,0.5561785247004664,-0.4442765750795806,1.7359432417462473,UNRESOLVED,high_variance
2025-2025040821gm-00a9-0000-b7ac449d-02-s0-d0,256,0.5703125,0.4639044384875045,-0.3389401994355088,1.4795651994355088,UNRESOLVED,high_variance
2025-2025041216gm-00a9-0000-3d010e8a-05-s0-d2,64,-0.375,0.8355624946942524,-2.0127024896007346,1.2627024896007346,UNRESOLVED,near_tie
2025-2025041216gm-00a9-0000-3d010e8a-05-s0-d2,128,-0.03125,0.5572466299534597,-1.123453394708781,1.060953394708781,UNRESOLVED,near_tie
2025-2025041216gm-00a9-0000-3d010e8a-05-s0-d2,192,-0.1875,0.48855939394674686,-1.1450764121356238,0.7700764121356238,UNRESOLVED,near_tie
2025-2025041216gm-00a9-0000-3d010e8a-05-s0-d2,256,-0.203125,0.41578529637761785,-1.018064180900131,0.611814180900131,UNRESOLVED,near_tie
2025-2025041311gm-00a9-0000-5f819544-02-s3-d14,64,0.6875,0.9720485956073504,-1.2177152473904067,2.592715247390407,UNRESOLVED,high_variance
2025-2025041311gm-00a9-0000-5f819544-02-s3-d14,128,0.15625,0.5938535964327091,-1.0077030490081098,1.3202030490081098,UNRESOLVED,near_tie
2025-2025041311gm-00a9-0000-5f819544-02-s3-d14,192,-0.07291666666666667,0.4729535681492136,-0.9999056602391252,0.8540723269057919,UNRESOLVED,near_tie
2025-2025041311gm-00a9-0000-5f819544-02-s3-d14,256,0.1015625,0.40510981352479375,-0.6924527345085957,0.8955777345085957,UNRESOLVED,near_tie
2025-2025041622gm-00a9-0000-82e8b63b-04-s1-d13,64,-2.21875,1.1607991803508368,-4.49391639348764,0.05641639348764027,UNRESOLVED,high_variance
2025-2025041622gm-00a9-0000-82e8b63b-04-s1-d13,128,-1.625,0.8275967246084756,-3.247089580232612,-0.0029104197673879284,REJECTED,
2025-2025041622gm-00a9-0000-82e8b63b-04-s1-d13,192,-0.8645833333333334,0.6607877616392634,-2.1597273461462896,0.43056067947962295,UNRESOLVED,high_variance
2025-2025041622gm-00a9-0000-82e8b63b-04-s1-d13,256,-1.515625,0.5865623710525624,-2.6652872472630222,-0.36596275273697776,REJECTED,
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s2-d15,64,1.1875,0.6215679578215693,-0.030773197330275837,2.4057731973302756,UNRESOLVED,high_variance
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s2-d15,128,0.6875,0.47705084618153615,-0.24751965851581081,1.6225196585158108,UNRESOLVED,high_variance
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s2-d15,192,0.9583333333333334,0.44037068247920624,0.09520679567408918,1.8214598709925776,SUPPORTED,
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s2-d15,256,0.796875,0.3914965766728601,0.029541709721194298,1.5642082902788057,SUPPORTED,
2024-2024092611gm-00a9-0000-4789b0e8-00-s3-d21,64,-0.15625,0.8743531480925572,-1.869982170261412,1.557482170261412,UNRESOLVED,near_tie
2024-2024092611gm-00a9-0000-4789b0e8-00-s3-d21,128,0.390625,0.6721610588617856,-0.9268106753690997,1.7080606753690997,UNRESOLVED,near_tie
2024-2024092611gm-00a9-0000-4789b0e8-00-s3-d21,192,0.5625,0.569629531562946,-0.5539738818633742,1.6789738818633742,UNRESOLVED,high_variance
